Year,Mean
2000,14.08118243
2001,14.42850998
2002,14.95018725
2003,12.64460644
2004,12.24417116
2005,11.63688446
2006,11.53235147
2007,11.61547583
2008,11.68417201
2009,10.6171167
2010,9.14311744
2011,9.883764117
2012,9.311536425
2013,10.37499785
2014,9.586285382
2015,9.387354618
2016,9.093535715
2017,10.08529425
2018,11.39931518
2019,8.07469972
